共 73 個 category

   33筆  鋼板/plate
   21筆  骨科
   17筆  人工骨
   14筆  止血劑
   13筆  傷口敷料
   12筆  負壓引流機
   11筆  胸腔外科
   10筆  Hernia人工網膜
    9筆  髓內釘
    8筆  人工真皮
    8筆  組織膠
    8筆  膠原蛋白
    8筆  防沾黏
    7筆  膝關節套組
    7筆  髖關節套組
    6筆  Inguinal mesh
    6筆  輔助工具
    6筆  鋼釘
    5筆  錨釘
    5筆  關節鏡
    4筆  Harmonic 系列 (Ethicon，J&J)
    4筆  手術電極
    4筆  腹腔鏡手術
    4筆  骨水泥
    3筆  Ventral hernia mesh
    3筆  傷口保護套
    3筆  傷口縫合
    3筆  軟式輸尿管鏡
    2筆  PRP
    2筆  乳癌術後衣
    2筆  傷口沖洗器
    2筆  傷口照護
    2筆  傷口組織膠
    2筆  取石網
    2筆  吻合器
    2筆  戴鋒泉臍疝氣
    2筆  手術電擊
    2筆  植入物
    2筆  注射物
    2筆  消毒液
    2筆  生長因子
    2筆  神經探測器
    2筆  縫合槍
    2筆  超音波刀
    2筆  雷射手術
    2筆  雷射耗材
    2筆  黃顧問 TAPP 套組
    1筆  （未分類）
    1筆  Anal CRS
    1筆  V-Lock (免打結縫線)
    1筆  l 肺腫瘤冷凍治療自費(一組+手術費20000)
    1筆  l 肺腫瘤冷凍治療自費(一組+手術費20001)
    1筆  低渣代餐
    1筆  內視鏡工具
    1筆  可吸收釘
    1筆  埋頭釘
    1筆  引導線
    1筆  玻尿酸
    1筆  異體韌帶
    1筆  真空乳房探針(手術費33500+探針套組18000)
    1筆  矽油
    1筆  組織修補片
    1筆  維生素
    1筆  縫合釘
    1筆  羊膜絨毛膜
    1筆  腹腔鏡檢體袋
    1筆  臍疝氣MESH
    1筆  藍鑽魚骨線 (Stratafix) (免打結縫線)
    1筆  鈣片
    1筆  鐵劑
    1筆  隨內釘
    1筆  電漿刀
    1筆  韌帶懸吊
